id,gender,race
1,m,black
2,m,black
3,m,white
4,f,white
5,m,black
6,m,white
7,m,black
8,m,white
9,m,black
10,m,white
11,m,black
12,m,black
13,m,black
14,m,white
15,m,white
16,f,white
17,m,black
18,m,white
19,m,black
20,m,black
21,m,white
22,m,black
23,m,white
24,m,white
25,m,white
26,m,black
27,m,white
28,m,white
29,f,black
30,m,black
31,m,black
32,m,black
33,m,black
34,m,black
35,m,white
36,m,white
37,m,black
38,m,white
39,f,white
40,m,white
41,f,black
42,m,white
43,m,black
44,f,white
45,m,black
46,m,black
47,m,white
48,m,black
49,m,black
50,m,white
51,f,white
52,m,black
53,m,white
54,m,black
55,f,white
56,m,black
57,m,black
58,f,white
59,f,black
60,m,white
61,m,white
62,m,black
63,f,black
64,m,white
65,m,white
66,m,white
67,m,black
68,m,white
69,m,black
70,m,black
71,m,hispanic
72,m,black
73,f,white
74,m,black
75,m,black
76,m,white
77,m,black
78,m,white
79,m,black
80,f,white
81,f,white
82,m,black
83,m,black
84,m,white
85,m,black
86,m,black
87,m,black
88,f,white
89,f,white
90,m,black
91,m,white
92,f,black
93,m,black
94,m,white
95,m,black
96,m,white
97,m,white
98,m,black
99,m,black
100,m,white
101,m,white
102,m,hispanic
103,m,black
104,m,black
105,m,black
106,m,black
107,m,black
108,f,black
109,m,white
110,m,black
111,m,white
112,m,black
113,m,black
114,m,black
115,m,white
116,m,black
117,m,black
118,m,black
119,m,white
120,m,black
121,m,black
122,m,black
123,m,white
124,m,white
125,m,black
126,f,white
127,m,black
128,m,black
129,m,white
130,m,black
131,m,black
132,m,white
133,m,black
134,m,black
135,m,hispanic
136,m,white
137,m,white
138,m,black
139,m,black
140,m,white
141,m,black
142,m,black
143,m,black
144,m,black
145,f,white
146,m,black
147,m,black
148,m,black
149,m,white
150,m,white
151,m,hispanic
152,m,white
153,m,black
154,m,white
155,f,white
156,m,white
157,f,black
158,m,white
159,m,white
160,f,white
161,m,white
162,m,black
163,m,black
164,m,black
165,m,white
166,f,black
167,m,hispanic
168,m,black
169,f,black
170,m,white
171,m,black
172,f,black
173,m,black
174,m,black
175,m,black
176,m,hispanic
177,f,white
178,m,black
179,m,black
180,m,white
181,m,black
182,m,black
183,m,black
184,m,black
185,m,white
186,m,black
187,m,white
188,m,black
189,m,white
190,m,white
191,m,black
192,m,black
193,m,black
194,m,hispanic
195,m,white
196,m,black
197,f,black
198,f,white
199,m,black
200,m,black
201,m,black
202,f,white
203,m,white
204,m,black
205,m,black
206,m,black
207,m,hispanic
208,m,black
209,m,black
210,m,black
211,m,black
212,m,white
213,m,black
214,f,black
215,m,black
216,m,hispanic
217,m,black
218,m,black
219,m,black
220,m,white
221,m,black
222,m,white
223,m,white
224,m,white
225,m,black
226,m,black
227,m,black
228,m,hispanic
229,m,hispanic
230,f,white
231,m,black
232,m,black
233,m,black
234,m,black
235,m,black
236,m,white
237,m,black
238,m,black
239,m,black
240,m,white
241,m,black
242,f,white
243,m,black
244,m,white
245,m,hispanic
246,m,white
247,m,hispanic
248,m,black
249,m,black
250,m,black
251,m,black
252,m,black
253,m,black
254,m,black
255,m,white
256,m,white
257,m,black
258,m,black
259,m,white
260,m,hispanic
261,m,white
262,m,black
263,m,black
264,m,black
265,f,black
266,m,black
267,f,black
268,m,black
269,m,black
270,m,white
271,m,black
272,m,black
273,m,black
