id,gender,race
1,m,black
2,m,black
3,m,black
4,m,black
5,m,black
6,m,white
7,m,black
8,f,white
9,m,black
10,m,white
11,m,black
12,m,white
13,m,black
14,m,black
15,m,white
16,f,hispanic
17,m,white
18,f,white
19,f,black
20,m,white
21,m,white
22,m,white
23,m,black
24,m,black
25,m,white
26,m,black
27,m,white
28,m,white
29,m,white
30,m,black
31,m,black
32,m,black
33,m,black
34,m,white
35,m,white
36,f,white
37,m,hispanic
38,m,black
39,m,white
40,m,black
41,m,black
42,m,white
43,m,black
44,m,black
45,m,white
46,m,white
47,m,white
48,m,white
49,f,white
50,m,white
51,m,black
52,m,black
53,m,white
54,m,white
55,m,white
56,m,black
57,m,white
58,m,black
59,m,black
60,m,black
61,m,black
62,m,black
63,m,black
64,m,white
65,m,white
66,m,white
67,m,black
68,m,black
69,m,black
70,m,black
71,m,white
72,m,black
73,m,hispanic
74,m,black
75,m,white
76,m,black
77,m,black
78,m,white
79,m,black
80,f,white
81,m,white
82,m,white
83,m,black
84,m,white
85,m,white
86,m,black
87,m,white
88,m,white
89,m,white
90,m,white
91,m,black
92,m,white
93,m,black
94,m,white
95,m,black
96,m,white
97,m,white
98,m,white
99,m,black
100,m,black
101,f,white
102,m,white
103,m,white
104,m,black
105,f,white
106,m,white
107,m,white
108,f,black
109,m,white
110,m,white
111,m,black
112,m,black
113,m,black
114,f,white
115,m,black
116,m,black
117,m,black
118,m,black
119,m,white
120,m,black
121,m,black
122,m,black
123,m,white
124,m,white
125,m,white
126,m,white
127,m,black
128,m,white
129,m,white
130,m,black
131,f,white
132,m,black
133,m,white
134,m,black
135,m,black
136,m,white
137,m,white
138,m,black
139,m,black
140,m,white
141,m,black
142,m,white
143,m,black
144,m,white
145,f,white
146,f,black
147,m,white
148,m,black
149,m,white
150,m,black
151,m,white
152,m,white
153,f,white
154,m,white
155,m,white
156,m,black
157,m,white
158,m,black
159,m,white
160,m,black
161,m,hispanic
162,m,white
163,f,white
164,m,white
165,m,white
166,m,white
167,m,white
168,m,white
169,m,black
170,m,white
171,m,black
172,m,white
173,m,black
174,m,white
175,m,black
176,m,hispanic
177,m,white
178,f,white
179,m,black
180,m,white
181,m,black
182,m,black
183,m,hispanic
184,m,white
185,m,white
186,m,white
187,m,white
188,f,black
189,m,white
190,m,white
191,m,black
192,m,black
193,m,white
194,m,black
195,m,white
196,m,black
197,m,white
198,m,white
199,m,white
200,m,white
201,m,white
202,m,black
203,m,black
204,m,black
205,m,black
206,m,black
207,m,white
208,m,black
209,m,black
210,m,black
211,f,black
212,m,black
213,m,black
214,m,black
215,m,black
216,m,white
217,m,white
218,m,hispanic
219,m,black
220,m,black
221,m,black
222,f,black
223,m,white
224,m,white
225,m,black
226,m,black
227,m,black
228,m,white
229,m,black
230,m,black
231,m,black
232,m,black
233,m,black
234,m,black
235,m,white
236,m,white
237,m,black
238,m,black
239,m,black
240,m,white
241,m,black
242,m,black
243,m,white
244,m,white
245,m,hispanic
246,m,white
247,m,white
248,m,black
249,m,black
250,m,white
251,m,black
252,m,black
253,m,black
254,m,black
255,m,white
256,f,white
257,m,black
258,m,white
259,m,black
260,m,black
261,m,white
262,m,white
263,m,black
264,m,white
265,m,white
266,m,white
267,m,black
268,m,black
269,m,black
270,m,white
271,m,white
272,m,black
273,m,black
274,m,black
275,m,white
276,m,white
