id,gender,race
1,m,black
2,m,white
3,m,white
4,m,black
5,m,white
6,m,white
7,m,white
8,m,white
9,m,white
10,m,black
11,m,white
12,m,white
13,m,white
14,m,white
15,m,white
16,m,white
17,m,black
18,m,black
19,m,black
20,m,black
21,m,white
22,m,white
23,m,white
24,m,white
25,m,black
26,m,white
27,m,black
28,m,black
29,m,white
30,m,black
31,m,black
32,m,white
33,m,white
34,m,black
35,m,white
36,m,white
37,m,white
38,m,black
39,m,white
40,m,white
41,m,white
42,m,black
43,m,black
44,m,white
45,m,white
46,m,white
47,m,white
48,m,white
49,m,white
50,m,black
51,m,white
52,m,white
53,m,white
54,m,black
55,m,white
56,m,black
57,m,black
58,m,white
59,m,white
60,m,white
61,m,white
62,m,black
63,m,black
64,m,black
65,m,black
66,m,black
67,m,black
68,m,white
69,m,white
70,m,white
71,m,white
72,m,white
73,m,white
74,m,black
75,m,white
76,m,black
77,m,black
78,m,white
79,m,white
80,m,white
81,m,black
82,m,white
83,m,white
84,m,white
85,m,black
86,m,white
87,m,white
88,m,white
89,m,black
90,m,white
91,m,white
92,m,white
93,m,black
94,m,black
95,m,white
96,m,black
97,m,white
98,m,black
99,m,white
100,m,white
101,m,white
102,m,black
103,m,white
104,m,black
105,m,white
106,m,white
107,m,white
108,m,white
109,m,black
110,m,white
111,m,white
112,m,white
113,m,black
114,m,white
115,m,white
116,m,white
117,m,black
118,m,white
119,m,white
120,m,white
121,m,white
122,m,white
123,m,white
124,m,white
125,m,black
126,m,white
127,m,white
128,m,black
129,m,black
130,m,white
131,m,white
132,m,white
133,m,white
134,m,white
135,m,white
136,m,white
137,m,black
138,m,white
139,m,white
140,m,black
141,m,white
142,m,black
143,m,white
144,m,black
145,m,white
146,m,white
147,m,black
148,m,white
149,m,white
150,m,black
151,m,white
152,m,black
153,m,white
154,m,white
155,m,white
156,m,black
157,m,black
158,m,white
159,m,white
160,m,black
161,m,white
162,m,black
163,m,white
164,m,white
165,m,black
166,m,white
167,m,white
168,m,white
169,m,white
170,m,white
171,m,black
172,m,white
173,m,white
174,m,white
175,m,black
176,m,black
177,m,white
178,m,white
179,m,black
180,m,white
181,m,white
182,m,black
183,m,white
184,m,white
185,m,white
186,m,black
187,m,black
188,m,white
189,m,black
190,m,black
191,m,white
192,m,white
193,m,white
194,m,white
195,m,white
196,m,black
197,m,white
198,m,white
199,m,white
200,m,black
201,m,white
202,m,white
203,m,white
204,m,white
205,m,white
206,m,black
207,m,black
208,m,black
209,m,white
210,m,white
211,m,white
212,m,white
213,m,white
214,m,white
215,m,black
216,m,white
217,m,white
218,m,white
219,m,white
220,m,white
221,m,white
222,m,white
223,m,black
224,m,white
225,m,white
226,m,black
227,m,white
228,m,black
229,m,white
230,m,black
231,m,black
232,m,white
233,m,white
234,m,black
235,m,white
236,m,white
237,m,white
238,m,black
239,m,black
240,m,white
241,m,white
242,m,white
243,m,white
244,m,black
245,m,black
246,m,white
247,m,black
248,m,white
249,m,black
250,m,white
251,m,white
252,m,black
253,m,white
254,m,white
255,m,white
256,m,white
257,m,white
258,m,white
259,m,white
260,m,white
261,m,white
262,m,black
263,m,white
264,m,white
265,m,white
266,m,white
267,m,black
268,m,white
269,m,white
270,m,black
271,m,black
272,m,white
273,m,white
274,m,white
275,m,white
276,m,white
277,m,white
278,m,black
279,m,black
280,m,black
281,m,black
282,m,white
283,m,black
284,m,black
285,m,black
286,m,white
287,m,white
288,m,white
289,m,white
290,m,white
291,m,white
292,m,black
293,m,white
294,m,white
295,m,white
296,m,white
297,m,white
298,m,black
299,m,white
300,m,white
301,m,white
302,m,white
303,m,black
304,m,white
305,m,white
306,m,white
307,m,black
308,m,white
309,m,white
310,m,black
311,m,black
312,m,white
313,m,black
314,m,black
315,m,white
316,m,black
317,m,white
318,m,white
319,m,white
320,m,white
321,m,white
322,m,black
323,m,white
324,m,white
325,m,black
326,m,white
327,m,black
328,m,white
329,m,white
330,m,white
331,m,white
332,m,white
333,m,white
334,m,black
335,m,white
336,m,black
337,m,black
338,m,white
339,m,white
340,m,black
341,m,white
342,m,white
343,m,white
344,m,white
345,m,white
346,m,white
347,m,white
348,m,black
349,m,black
350,m,white
351,m,white
352,m,black
353,m,white
354,m,white
355,m,white
356,m,white
357,m,black
358,m,black
359,m,black
360,m,white
361,m,white
362,m,white
363,m,white
364,m,white
365,m,white
366,m,white
367,m,white
368,m,black
369,m,white
370,m,white
371,m,black
372,m,white
373,m,white
374,m,white
375,m,white
376,m,white
377,m,white
378,m,white
379,m,white
380,m,white
381,m,white
382,m,white
383,m,white
384,m,white
385,m,black
386,m,white
387,m,black
388,m,white
389,m,white
390,m,white
391,m,white
392,m,white
393,m,white
394,m,black
395,m,black
396,m,white
397,m,white
398,m,black
399,m,white
400,m,white
401,m,white
402,m,black
403,m,white
404,m,white
405,m,black
406,m,white
407,m,white
408,m,white
409,m,black
410,m,black
411,m,white
412,m,black
413,m,white
414,m,white
415,m,white
416,m,black
417,m,white
418,m,black
419,m,black
420,m,black
421,m,black
422,m,white
423,m,black
424,m,black
425,m,black
426,m,white
427,m,black
428,m,white
429,m,white
430,m,white
431,m,white
432,m,black
433,m,white
434,m,white
435,m,white
436,m,black
437,m,white
438,m,white
439,m,black
440,m,white
441,m,white
442,m,white
443,m,white
444,m,black
445,m,black
446,m,black
447,m,white
448,m,white
449,m,black
450,m,white
451,m,white
452,m,white
453,m,white
454,m,white
455,m,white
456,m,white
457,m,white
458,m,black
459,m,white
460,m,white
461,m,white
462,m,white
463,m,black
464,m,white
465,m,black
466,m,white
467,m,black
468,m,white
469,m,white
470,m,black
471,m,white
472,m,white
473,m,white
474,m,white
475,m,white
476,m,white
477,m,black
478,m,white
479,m,white
480,m,white
481,m,white
482,m,white
483,m,white
484,m,black
485,m,black
486,m,white
487,m,black
488,m,white
489,m,white
490,m,white
491,m,white
492,m,white
493,m,white
494,m,white
495,m,black
496,m,white
497,m,white
498,m,white
499,m,white
500,m,black
501,m,white
502,m,white
503,m,white
504,m,white
505,m,white
506,m,white
507,m,white
508,m,white
509,m,white
510,m,white
511,m,white
512,m,white
513,m,black
514,m,black
515,m,white
516,m,white
517,m,black
518,m,black
519,m,black
520,m,black
521,m,white
522,m,white
523,m,black
524,m,white
525,m,white
526,m,white
527,m,white
528,m,white
529,m,black
530,m,black
531,m,white
532,m,black
533,m,black
534,m,white
535,m,white
536,m,white
537,m,white
538,m,white
539,m,white
540,m,white
541,m,black
542,m,black
543,m,white
544,m,black
545,m,white
546,m,white
547,m,black
548,m,white
549,m,white
550,m,white
551,m,white
552,m,black
553,m,white
554,m,white
555,m,white
556,m,white
557,m,white
558,m,black
559,m,white
560,m,white
561,m,white
562,m,white
563,m,white
564,m,black
565,m,white
566,m,white
567,m,white
568,m,white
569,m,white
570,m,black
571,m,white
572,m,black
573,m,white
574,m,black
575,m,white
576,m,white
577,m,white
578,m,white
579,m,black
580,m,white
581,m,white
582,m,white
583,m,black
584,m,white
585,m,white
586,m,black
587,m,white
588,m,black
589,m,white
590,m,black
591,m,white
592,m,white
593,m,black
594,m,white
595,m,white
596,m,black
597,m,white
598,m,black
599,m,white
600,m,white
601,m,white
602,m,black
603,m,white
604,m,white
605,m,white
606,m,black
607,m,white
608,m,white
609,m,white
610,m,white
611,m,white
612,m,white
613,m,black
614,m,white
615,m,white
616,m,white
617,m,white
618,m,white
619,m,white
620,m,white
621,m,black
622,m,white
623,m,white
624,m,white
625,m,white
626,m,white
627,m,black
628,m,black
629,m,black
630,m,black
631,m,white
632,m,black
633,m,white
634,m,black
635,m,white
636,m,black
637,m,white
638,m,white
639,m,white
640,m,white
641,m,white
642,m,black
643,m,white
644,m,white
645,m,white
646,m,white
647,m,black
648,m,white
649,m,white
650,m,white
651,m,black
652,m,white
653,m,black
654,m,white
655,m,white
656,m,white
657,m,black
658,m,white
659,m,white
660,m,white
661,m,white
662,m,white
663,m,black
664,m,white
665,m,white
666,m,black
667,m,white
668,m,white
669,m,black
670,m,white
671,m,white
672,m,white
673,m,white
674,m,white
675,m,white
676,m,black
677,m,white
678,m,white
679,m,black
680,m,white
681,m,white
682,m,black
683,m,white
684,m,white
685,m,white
686,m,white
687,m,white
688,m,white
689,m,white
690,m,black
691,m,white
692,m,black
693,m,white
694,m,white
695,m,white
696,m,white
697,m,white
698,m,white
699,m,white
700,m,white
701,m,white
702,m,black
703,m,white
704,m,black
705,m,white
706,m,black
707,m,white
708,m,white
709,m,black
710,m,black
711,m,white
712,m,white
713,m,white
714,m,white
715,m,black
716,m,white
717,m,white
718,m,white
719,m,white
720,m,white
721,m,black
722,m,white
723,m,black
724,m,white
725,m,white
726,m,white
727,m,white
728,m,white
