id,gender ,race
1,m,hispanic
2,m,hispanic
3,m,hispanic
4,m,hispanic
5,m,hispanic
6,m,hispanic
7,m,hispanic
8,m,hispanic
9,m,hispanic
10,m,hispanic
11,m,hispanic
12,m,hispanic
13,m,hispanic
14,m,hispanic
15,m,hispanic
16,m,hispanic
17,m,hispanic
18,m,hispanic
19,m,hispanic
20,m,hispanic
21,m,hispanic
22,m,hispanic
23,m,hispanic
24,m,hispanic
25,m,hispanic
26,m,hispanic
27,m,hispanic
28,m,hispanic
29,m,hispanic
30,m,hispanic
31,m,hispanic
32,m,hispanic
33,m,hispanic
34,m,hispanic
35,m,hispanic
36,m,hispanic
37,m,hispanic
38,m,hispanic
39,m,hispanic
40,m,hispanic
41,m,hispanic
42,m,hispanic
43,m,hispanic
44,m,hispanic
45,m,hispanic
46,m,hispanic
47,m,hispanic
48,m,hispanic
49,m,hispanic
50,m,hispanic
51,m,hispanic
52,m,hispanic
53,m,hispanic
54,m,hispanic
55,m,hispanic
56,m,hispanic
57,m,hispanic
58,m,hispanic
59,m,hispanic
60,m,hispanic
61,m,hispanic
62,m,hispanic
63,m,hispanic
64,m,hispanic
65,m,hispanic
66,m,hispanic
67,m,hispanic
68,m,hispanic
69,m,hispanic
70,m,hispanic
71,m,hispanic
72,m,hispanic
73,m,hispanic
74,m,hispanic
75,m,hispanic
76,m,hispanic
77,m,hispanic
78,m,hispanic
79,m,hispanic
80,m,hispanic
81,m,hispanic
82,m,hispanic
83,m,hispanic
84,m,hispanic
85,m,hispanic
86,m,hispanic
87,m,hispanic
88,m,hispanic
89,m,hispanic
90,m,hispanic
91,m,hispanic
92,m,hispanic
93,m,hispanic
94,m,hispanic
95,m,hispanic
96,m,hispanic
97,m,hispanic
98,m,hispanic
99,m,hispanic
100,m,hispanic
101,m,hispanic
102,m,hispanic
103,m,hispanic
104,m,hispanic
105,m,hispanic
106,m,hispanic
107,m,hispanic
108,m,hispanic
109,m,hispanic
110,m,hispanic
111,m,hispanic
112,m,hispanic
113,m,hispanic
114,m,hispanic
115,m,hispanic
116,m,hispanic
117,m,hispanic
118,m,hispanic
119,m,hispanic
120,m,hispanic
121,m,hispanic
122,m,hispanic
123,m,hispanic
124,m,hispanic
125,m,hispanic
126,m,hispanic
127,m,hispanic
128,m,hispanic
129,m,hispanic
130,m,hispanic
131,m,hispanic
132,m,hispanic
133,m,hispanic
134,m,hispanic
135,m,hispanic
136,m,hispanic
137,m,hispanic
138,m,hispanic
139,m,hispanic
140,m,hispanic
141,m,hispanic
142,m,hispanic
143,m,hispanic
144,m,hispanic
145,m,hispanic
146,m,hispanic
147,m,hispanic
148,m,hispanic
149,m,hispanic
150,m,hispanic
151,m,hispanic
152,m,hispanic
153,m,hispanic
154,m,hispanic
155,m,hispanic
156,m,hispanic
157,m,hispanic
158,m,hispanic
159,m,hispanic
160,m,hispanic
161,m,hispanic
162,m,hispanic
163,m,hispanic
164,m,hispanic
165,m,hispanic
166,m,hispanic
167,m,hispanic
168,m,hispanic
169,m,hispanic
170,m,hispanic
171,m,hispanic
172,m,hispanic
173,m,hispanic
174,m,hispanic
175,m,hispanic
176,m,hispanic
177,m,hispanic
178,m,hispanic
179,m,hispanic
180,m,hispanic
181,m,hispanic
182,m,hispanic
183,m,hispanic
184,m,hispanic
185,m,hispanic
186,m,hispanic
187,m,hispanic
188,m,hispanic
189,m,hispanic
190,m,hispanic
191,m,hispanic
192,m,hispanic
193,m,hispanic
194,m,hispanic
195,m,hispanic
196,m,hispanic
197,m,hispanic
198,m,hispanic
199,m,hispanic
200,m,hispanic
201,m,hispanic
202,m,hispanic
203,m,hispanic
204,m,hispanic
205,m,hispanic
206,m,hispanic
207,m,hispanic
208,m,hispanic
209,m,hispanic
210,m,hispanic
211,m,hispanic
212,m,hispanic
213,m,hispanic
214,m,hispanic
215,m,hispanic
216,m,hispanic
217,m,hispanic
218,m,hispanic
219,m,hispanic
220,m,hispanic
221,m,hispanic
222,m,hispanic
223,m,hispanic
224,m,hispanic
225,m,hispanic
226,m,hispanic
227,m,hispanic
228,m,hispanic
229,m,hispanic
230,m,hispanic
231,m,hispanic
232,m,hispanic
233,m,hispanic
234,m,hispanic
235,m,hispanic
236,m,hispanic
237,m,hispanic
238,m,hispanic
239,m,hispanic
240,m,hispanic
241,m,hispanic
242,m,hispanic
243,m,hispanic
244,m,hispanic
245,m,hispanic
246,m,hispanic
247,m,hispanic
248,m,hispanic
249,m,hispanic
